country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,31.5,37.3,44.8,54.4,68.2,86.6,105,124,142,162,182,205,229,254,279,303,327,350,376,395,410,418,420,420,420,416,408
Colombia,13.9,15.4,16.1,15.6,16.9,17.6,17.2,62.4,61.8,62.3,67.8,72.6,70.8,83,85.6,81.8,81,81.9,71.6,68.2,56.1,54.4,51.3,48.7,46.5,43.6,41
Comoros,0.02,0.02,0.03,0.05,0.06,0.09,0.12,0.16,0.21,0.29,0.38,0.49,0.62,0.76,0.89,1.02,1.13,1.16,1.05,1.07,0.97,0.97,0.89,0.78,0.68,0.66,0.74
"Congo, Dem. Rep.",1240,1480,1760,2050,2370,2690,2990,3280,3550,3790,4000,4170,4310,4380,4380,4320,4300,4250,4120,3980,3750,3490,3250,2890,2300,1700,1450
"Congo, Rep.",185,233,283,334,382,426,462,493,517,534,543,546,541,531,512,499,491,474,436,422,418,402,389,382,381,366,328
Costa Rica,2.1,3.45,3.15,3.14,2.93,3.47,3.41,3.51,4.08,4.04,4.06,3.97,3.67,3.84,3.49,3.61,3.34,3.3,3.08,2.71,2.76,2.49,3.34,2.74,2.68,2.29,2.11
Cote d'Ivoire,683,892,1120,1360,1600,1840,2060,2260,2440,2590,2720,2810,2850,2870,2880,2850,2840,2720,2430,2130,1680,1500,1360,1090,1010,981,684
Croatia,0.3,0.37,0.41,0.29,0.42,0.52,0.55,0.62,0.44,0.4,0.33,0.24,0.27,0.12,0.18,0.14,0.25,0.11,0.12,0.24,0.26,0.2,0.23,0.19,0.17,0.15,0.14
Cuba,3.57,3.75,3.85,4.89,4.23,4.35,4.24,2.85,2.91,3.05,2.99,3.51,2.59,2.13,2.87,2.58,2.55,3.6,3.68,3.69,4.28,4.92,5.13,6.79,6.74,5.9,5.49
Cyprus,0.03,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
Czech Republic,0.62,0.39,0.58,0.75,0.66,0.44,0.45,0.36,0.32,0.43,0.19,0.29,0.21,0.21,0.2,0.33,0.27,0.46,0.42,0.75,0.62,0.65,0.65,0.55,0.89,0.71,0.66
Denmark,0.62,0.73,0.87,1.08,1.88,1.67,1.28,0.54,0.36,0.36,0.27,0.3,0.29,0.31,0.34,0.3,0.23,0.29,0.19,0.24,0.26,0.21,0.2,0.19,0.17,0.17,0.16
