country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peru,17.6,18.6,19.6,20.6,21.9,23.5,25.5,27.6,29.6,31.5,31.7,30.7,25.8,20.5,18.8,20.8,18.5,14.5,13,12.5,12.5,9.23,5.77,2.84,2.73,2.55,4.06
Philippines,211,217,299,303,306,264,253,95.9,91.8,318,321,244,251,261,306,332,363,419,431,469,461,443,491,510,491,480,472
Poland,22,19.4,17.6,16.2,14.5,11.5,10.7,11.5,11.7,12.3,11.9,11,12,11.5,9.04,7.69,9.48,7,7.45,7.96,8.09,7.42,4.84,4.24,3.72,4.25,4.11
Portugal,1.43,1.86,2.56,2.93,3.99,5.32,6.11,5.11,4.56,4.44,3.66,3.48,3.56,3.48,3.22,3.31,2.53,2.75,2.49,2.17,2.01,1.9,1.65,1.47,1.23,1.3,1.24
Qatar,0.1,0.11,0.12,0.13,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.05
Romania,123,102,93,113,74.4,36.8,18.2,17.1,15.1,13.1,12.6,6.92,7.58,7.94,5.76,5.36,5.29,5.28,3.85,4.62,3.83,4.63,3.59,3.37,3.25,3.17,2.99
Russia,136,121,84.3,86.2,82.8,89.1,97.7,90,97.9,67.2,85.9,339,407,430,440,446,453,529,605,518,556,513,651,610,606,582,526
Rwanda,756,952,1130,1280,1420,1520,1620,1700,1780,1840,1870,1880,1850,1790,1580,1320,1110,928,763,672,622,398,267,201,133,84,56.7
Samoa,0.1,0.13,0.15,0.17,0.19,0.21,0.23,0.24,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.29,0.3,0.32,0.34,0.36,0.38,0.41,0.44,0.48,0.17,0.08
Sao Tome and Principe,0.87,1.35,1.85,2.28,2.63,2.89,3.13,3.3,3.45,3.6,3.73,3.83,3.89,3.94,3.97,3.53,2.8,2.14,1.81,1.5,1.22,0.99,0.88,0.69,0.52,0.29,0.19
Saudi Arabia,1.59,1.84,2.1,2.35,2.61,2.89,3.19,3.54,3.96,4.46,5.05,5.69,6.33,6.91,7.41,7.82,8.15,8.42,8.63,8.79,8.9,9,9.09,9.18,9.3,9.02,6.68
Senegal,20.4,26.5,34,42.8,53,64.5,76.9,90,103,117,128,139,151,163,174,179,177,164,130,88.8,83.4,82.8,70.6,47.5,36.4,39.2,62
Serbia,0.76,0.77,0.75,0.72,0.69,0.64,0.59,0.52,0.46,0.41,0.39,0.39,0.4,0.43,0.46,0.47,0.47,0.47,0.31,0.18,0.21,0.23,0.22,0.2,0.2,0.18,0.18
Seychelles,0.01,0.03,0.04,0.06,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.14,0.15,0.17,0.14,0.14,0.17,0.18,0.21,0.2,0.19,0.17
Sierra Leone,7.79,11.1,15.4,21,28,36.9,47.8,61.1,77,96.1,119,144,173,205,238,269,290,306,270,248,227,188,146,127,105,67,52.5
Singapore,0.25,0.24,0.24,0.38,0.51,0.5,0.65,0.59,0.54,0.67,0.61,0.67,0.6,0.47,0.46,0.43,0.4,0.38,0.35,0.32,0.29,0.28,0.25,0.27,0.24,0.23,0.22
Slovak Republic,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0.27,0.21,0.15,0.18,0.17,0.36,0.17,0.11,0.27,0.19,0.14,0.2,0.1,0.06,0.08,0.08,0.04,0.1,0.13,0.06,0.04,0.06,0.06,0.06,0.05,0.05,0.05
Solomon Islands,0.2,0.26,0.31,0.36,0.42,0.47,0.53,0.58,0.62,0.66,0.68,0.7,0.72,0.74,0.77,0.79,0.82,0.87,0.92,0.98,1.05,1.13,1.22,1.32,1.43,0.54,0.25
Somalia,19.4,24,29,34.6,40.8,47.4,54.9,63.2,72.3,82,91.9,102,111,119,126,133,138,141,143,145,143,141,136,131,128,123,119
South Africa,294,578,1070,1860,3030,4680,6830,9390,12300,15300,18400,21200,23600,25600,26900,27900,28100,27900,27200,25900,24000,22500,21300,20400,19600,18600,18000
South Korea,0.73,0.84,0.94,1.02,1.09,1.15,1.19,1.19,1.15,1.16,0.64,0.19,0.07,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
South Sudan,156,205,260,319,380,443,511,585,667,752,840,919,993,1060,1120,1180,1240,1290,1330,1370,1380,1390,1410,1410,1420,1360,803
Spain,17,19.6,25.9,28.8,31.4,31.4,24.8,14.1,8.53,9.25,7.88,9.17,8.05,7.73,7.75,7.95,7.77,6.9,7.16,7.04,6.44,6.34,5.3,4.59,4.64,4.56,4.3
Sri Lanka,0.96,1.14,1.34,1.56,1.77,1.94,2.08,2.19,2.26,2.37,2.51,2.59,2.72,2.71,2.69,2.67,2.64,2.65,2.25,2.14,2.04,1.98,1.84,1.63,1.24,0.81,1.14
St. Lucia,0.14,0.14,0.21,0.24,0.27,0.24,0.27,0.19,0.19,0.27,0.4,0.33,0.32,0.28,0.27,0.21,0.21,0.18,0.14,0.13,0.14,0.13,0.11,0.1,0.11,0.1,0.09
St. Vincent and the Grenadines,0.41,0.42,0.46,0.52,0.58,0.69,0.78,0.56,0.54,0.78,1.13,0.87,0.82,0.7,0.64,0.49,0.51,0.42,0.36,0.32,0.4,0.35,0.32,0.31,0.33,0.27,0.27
Sudan,37.7,49.4,63.3,79.5,97.6,117,136,155,172,187,198,207,212,216,218,218,217,215,205,190,184,187,180,171,153,145,58.7
Suriname,0.64,0.89,1.23,1.65,2.11,2.6,3.1,3.65,4.25,4.9,5.56,6.18,6.33,5.18,3.8,2.35,1.23,0.71,0.48,0.39,0.39,0.37,0.26,0.21,0.29,0.4,0.45
Sweden,0.85,1.28,1.04,1.12,1.31,1.07,0.97,0.64,0.28,0.37,0.24,0.42,0.39,0.32,0.23,0.45,0.29,0.48,0.26,0.52,0.3,0.33,0.3,0.29,0.28,0.27,0.26
Switzerland,1.38,1.6,1.85,2.15,2.57,4.43,3.17,2.2,1.49,1.23,1.13,0.88,0.7,0.59,0.54,0.53,0.55,0.44,0.4,0.41,0.33,0.34,0.38,0.33,0.34,0.34,0.33
Syria,0.5,0.53,0.58,0.62,0.67,0.73,0.78,0.84,0.9,0.95,1.02,1.08,1.15,1.2,1.25,1.28,1.27,1.36,0.65,0.65,0.69,0.86,2.03,2.21,1.7,1.12,0.74
Tajikistan,1.99,2.6,3.21,3.87,4.55,5.27,6.06,6.93,7.83,8.71,9.51,10.2,10.7,11,11.2,11.3,11.1,10.4,9.4,8.29,6.42,4.1,2.35,1.16,0.68,0.79,0.74
Tanzania,2670,3620,4710,5880,7080,8220,9200,9960,10500,11000,11200,11300,11400,11400,11300,11000,10500,9480,8040,7080,5680,4420,3580,3130,2480,2170,1390
Thailand,46.2,120,230,367,512,653,775,885,967,1000,847,660,537,407,269,161,89,61.3,54.1,46.8,48.5,54,72.5,91.5,97.3,95.4,91.2
Timor-Leste,0.91,2,3.35,4.75,6.06,7.19,7.99,8.14,7.64,6.83,6.02,5.39,4.98,4.75,4.71,4.86,5.11,5.31,5.59,5.78,5.76,6.02,6.21,6.28,6.16,6.01,4.96
Togo,65.4,99.9,146,206,280,366,463,567,676,784,886,975,1040,1090,1100,1080,1040,976,870,758,628,389,235,168,122,75.7,67.3
Tonga,0.07,0.08,0.1,0.11,0.12,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.08,0.04
Trinidad and Tobago,2.83,2.84,3.36,3.08,3.77,3.58,4.08,4.42,4.5,9.72,8.8,8.56,8.1,5.71,4.89,4.45,4.18,3.56,3.01,3.07,2.95,2.87,2.68,2.47,2.28,2.08,1.93
Tunisia,0.2,0.23,0.26,0.29,0.33,0.37,0.42,0.48,0.53,0.6,0.68,0.76,0.8,0.82,0.85,0.67,0.76,1.06,1.17,1.53,1.24,1.2,1.74,2.05,1.23,1.14,1.17
Turkey,0.2,0.26,0.33,0.42,0.53,0.65,0.8,0.96,1.15,1.38,1.64,1.93,2.26,2.63,3.06,3.57,4.11,4.7,4.75,5.07,6.14,7.12,7.94,8.73,9.44,10,10.6
Turkmenistan,5.96,12.1,9.58,12.2,6.09,6.25,7.75,6.74,5.78,5.56,5.24,4.96,4.64,4.44,4.38,4.29,4.34,4.1,4.17,4.14,4.08,4.05,4.1,3.78,3.62,3.5,3.41
Uganda,6160,7670,9050,10200,11000,11400,11500,11200,10900,10400,9950,9500,9160,8930,8740,8670,8780,8870,8690,8570,8620,7760,5970,4550,3070,1930,1080
Ukraine,20.3,13.5,22.6,25.7,26.1,27.1,31.1,31.9,32.6,30.8,25.4,18.7,20.1,21.9,27.9,80.3,72.2,67.6,59.5,61.1,71.6,55.3,52.4,47,42.8,40.6,38.7
United Arab Emirates,0.08,0.1,0.11,0.13,0.16,0.18,0.2,0.23,0.26,0.29,0.34,0.4,0.46,0.55,0.66,0.77,0.9,1.03,1.18,1.35,1.52,1.69,1.83,1.95,2.05,2.04,1.62
United Kingdom,7.54,9.74,10.3,11.2,14.1,11,9.57,7.53,5.89,5.48,4.81,5.81,5.68,6.12,6.49,6.24,6.33,7.2,7.08,6.98,7.21,5.51,5.99,5.44,4.8,5.59,4.82
United States,320,329,350,360,360,330,260,146,128,139,117,122,96.8,94.2,87.8,84.7,81.9,87.8,72.4,58.6,55.7,51,53.6,47.9,51.5,47.9,46.4
Uruguay,0.98,1.36,1.34,1.53,1.71,1.72,2.16,1.87,1.92,1.91,1.95,2.31,2.09,2.21,1.87,1.83,1.56,1.55,1.53,1.53,1.58,1.44,1.5,1.32,1.32,1.25,1.21
Uzbekistan,12.3,11.3,11.7,6.14,6.1,6.42,7.76,8.01,6.97,9.33,11,9.37,11.3,11.2,19.9,19.7,16.6,15.4,15.5,15.5,15.9,16.3,17.3,18.2,19.9,16.9,15.8
Vanuatu,0.11,0.14,0.17,0.2,0.22,0.24,0.25,0.26,0.27,0.27,0.27,0.28,0.28,0.29,0.3,0.32,0.34,0.37,0.4,0.43,0.48,0.53,0.59,0.65,0.73,0.26,0.12
Venezuela,67.7,57.1,66.3,69.7,76.5,50.9,34.4,44.3,45.9,40.5,44.6,35.6,40.8,43.9,40.1,37.9,44.2,41.5,38.9,47,49.9,43,44.1,43.8,38.4,36,33.8
Vietnam,8.63,12.6,17.1,22.2,28.2,35.7,45.6,58.7,75,94.2,115,138,158,175,192,201,182,151,135,122,86.8,79,77.2,79.7,69.5,56.9,70.8
Yemen,2.25,2.58,2.94,3.29,3.62,3.92,4.19,4.44,4.7,4.97,5.26,5.56,5.89,6.23,6.58,6.93,7.33,7.85,8.49,7.96,7.88,8.29,9.43,10.6,8.95,9.33,7.92
Zambia,2030,2740,3510,4280,5040,5750,6390,6920,7380,7730,7980,8150,8240,8310,8180,7600,7030,6260,5500,4610,3440,2730,2440,2000,1550,1150,1330
Zimbabwe,2580,3490,4480,5470,6420,7260,7940,8470,8830,9090,9290,9400,9330,9080,8810,8490,7900,7310,6550,5620,4640,3600,2570,2000,1470,1070,1040
